News Source,Bias,Reporting,References,Website
All That s Fab,Left,Mixed,44360,https://www.cbc.ca/news/politics/meng-wanzhou-huawei-extradition-deadline-1.4985452
AlterNet,Left,Mixed,2607229,https://mediabiasfactcheck.com/all-thats-fab/
American Bridge 21st Century,Left,Mixed,3819,https://www.alternet.org/
Blue Dot Daily,Left,Mixed,426,https://americanbridgepac.org/
Blue Nation Review,Left,Mixed,,https://www.bluedotdaily.com/
Breitbart Unmasked,Left,Mixed,20689,https://bluenationreview.com/
Code Pink,Left,Mixed,228707,https://www.breitbartunmasked.com/
Crooks and Liars,Left,Mixed,3160466,https://www.codepink.org/
Daily Mirror,Left,Mixed,3152508,https://crooksandliars.com/
Deep Left Field,Left,Mixed,3983,https://www.mirror.co.uk/
DeepStateNation.com,Left,Mixed,87663,https://mediabiasfactcheck.com/deep-left-field/
Democratic Underground,Left,Mixed,1403949,https://www.rawstory.com/
Drudge Retort,Left,Mixed,706080,https://www.democraticunderground.com/
Earth First Journal,Left,Mixed,88907,https://www.drudgereport.com/
Economy In Crisis,Left,Mixed,0,https://earthfirstjournal.org/
Elite Daily,Left,Mixed,77527,https://www.thebalance.com/u-s-economic-crisis-3305668
Globe Today,Left,Mixed,30723,https://www.elitedaily.com/
GOPOCALYPSE,Left,Mixed,0,https://www.bostonglobe.com/todayspaper/2019/01/18
Groopspeak,Left,Mixed,100,https://mediabiasfactcheck.com/gopocalypse/
Happy Foxie,Left,Mixed,1433,https://mediabiasfactcheck.com/groopspeak/
Independent Reporter (Ir.net),Left,Mixed,21678,https://www.pinterest.com/pin/799459371324687348/
International Viewpoint,Left,Mixed,216112,https://mediabiasfactcheck.com/independent-reporter-ir-net/
Intrepid Report,Left,Mixed,54834,http://www.internationalviewpoint.org/
It s Going Down,Left,Mixed,99217,http://www.intrepidreport.com/
Jezebel,Left,Mixed,3381014,https://www.youtube.com/watch?v=4Vv-zcAoer8
Left Over Rights,Left,Mixed,20,https://jezebel.com/
Left Side of History,Left,Mixed,411,https://mediabiasfactcheck.com/left-over-rights/
Liberal America,Left,Mixed,22817,https://www.urbandictionary.com/define.php?term=Left%20side%20of%20history
Liberal Examiner,Left,Mixed,1099,https://en.wikipedia.org/wiki/Modern_liberalism_in_the_United_States
Liberals Unite (Samuel Warde),Left,Mixed,71824,https://mediabiasfactcheck.com/liberal-examiner/
Little Green Footballs,Left,Mixed,406820,https://mediabiasfactcheck.com/liberals-unite-samuel-warde/
Love Knowledge,Left,Mixed,0,https://en.wikipedia.org/wiki/Little_Green_Footballs
Mean Left Hook,Left,Mixed,1608,http://www.oxfordscholarship.com/view/10.1093/acprof:oso/9780199283675.001.0001/acprof-9780199283675-chapter-6
Modern Liberals,Left,Mixed,1352,https://www.facebook.com/MeanLeftHookPolitics/
Moon of Alabama,Left,Mixed,263721,https://en.wikipedia.org/wiki/Modern_liberalism_in_the_United_States
Move On,Left,Mixed,460486,https://www.moonofalabama.org/
Nap-Sack,Left,Mixed,10,https://www.movescanada.ca/mobilization/
Nation of Change,Left,Mixed,132382,https://www.urbandictionary.com/define.php?term=nap%20sack
News Corpse,Left,Mixed,12713,https://www.nationofchange.org/
NewsHounds,Left,Mixed,772689,https://mediabiasfactcheck.com/news-corpse/
NewsLogue,Left,Mixed,6145,http://newshounds.keenspot.com/
Nova Magazine,Left,Mixed,46,http://www.newslogue.com/
OpEdNews (OEN),Left,Mixed,509866,https://en.wikipedia.org/wiki/Nova_(UK_magazine)
Palmer Report,Left,Mixed,29004,https://www.opednews.com/
Popular Resistance,Left,Mixed,140199,https://www.palmerreport.com/
Progressive Liberal,Left,Mixed,6791,https://popularresistance.org/
Proud Democrat,Left,Mixed,3952,https://www.huffingtonpost.com/david-sirota/whats-the-difference-betw_b_9140.html
Rappler,Left,Mixed,523496,https://www.buttonmuseum.org/buttons/proud-democrat
Raw Progressive,Left,Mixed,6,https://www.rappler.com/
Raw Story,Left,Mixed,2178657,https://mediabiasfactcheck.com/raw-progressive/
Reader Supported News (RSN),Left,Mixed,217307,https://www.rawstory.com/
Red Youth,Left,Mixed,3772,https://readersupportednews.org/
Republicans Suck,Left,Mixed,5001,https://en.wikipedia.org/wiki/Red_Youth_(Norway)
Revcom.us,Left,Mixed,47655,https://mediabiasfactcheck.com/republicans-suck/
Right Wing Watch,Left,Mixed,601283,https://www.revcom.us/
Shareblue,Left,Mixed,75660,http://www.rightwingwatch.org/
Sparks/CnnTimes,Left,Mixed,0,https://en.wikipedia.org/wiki/Shareblue_Media
Splinter,Left,Mixed,2585732,https://mediabiasfactcheck.com/sparkscnntimes/
Syriana Analysis,Left,Mixed,689,https://en.wikipedia.org/wiki/Splinter_News
TeleSUR,Left,Mixed,2136424,https://www.youtube.com/channel/UClvD6c1VI75QZWJjA_yiWhg
The Blue Route,Left,Mixed,10,https://www.telesurtv.net/
The Democratic Hub,Left,Mixed,5904298,http://bicycle.ns.ca/blue-route/
The Florida Squeeze,Left,Mixed,6473,https://www.democratichub.com/
The New Civil Rights Movement,Left,Mixed,543097,https://thefloridasqueeze.com/
The Progressive Frontier,Left,Mixed,2397,https://www.thenewcivilrightsmovement.com/
TheosWatch.com,Left,Mixed,1424,https://mediabiasfactcheck.com/the-progressive-frontier/
Think Progress,Left,Mixed,3294172,http://theoswatch.com/
Towleroad,Left,Mixed,1004715,https://thinkprogress.org/
Truth Out,Left,Mixed,743225,http://www.towleroad.com/
Vermont Independent,Left,Mixed,138,https://www.merriam-webster.com/dictionary/out
Viral Title,Left,Mixed,34,https://vermontindependent.net/
Washington Press,Left,Mixed,54726,https://www.socialmediatoday.com/content/10-tips-writing-viral-titles
Washington Sources,Left,Mixed,128232,https://mediabiasfactcheck.com/washington-press/
Who.What.Why,Left,Mixed,183671,https://mediabiasfactcheck.com/washington-sources/
Wonkette,Left,Mixed,8300011,https://whowhatwhy.org/
Workers World,Left,Mixed,169552,https://en.wikipedia.org/wiki/Wonkette
Act.TV,Left,High,11142,https://www.workers.org/
Advocate,Left,High,471075,https://act.tv/
Akkadian Times,Left,High,891,https://www.dictionary.com/browse/advocate
Amandla,Left,High,5125,https://www.youtube.com/channel/UCv3EOe-SVWSRe8JbYaF7WdQ
AmericaBlog,Left,High,1287708,https://en.wikipedia.org/wiki/Amandla_(power)
The American Independent Institute,Left,High,2218,http://americablog.com/
American United for Separation of Church and State,Left,High,316240,https://en.wikipedia.org/wiki/American_Independent_Institute
Angry White Men,Left,High,26368,https://en.wikipedia.org/wiki/Americans_United_for_Separation_of_Church_and_State
AutoStraddle,Left,High,230802,https://www.hachettebookgroup.com/titles/michael-kimmel/angry-white-men/9781568589626/
Bay Area Reporter,Left,High,75994,https://www.autostraddle.com/
Being Liberal,Left,High,19454,https://www.ebar.com/
Bitch Media,Left,High,9607,https://www.facebook.com/beingliberal.org/
Black Agenda Report,Left,High,169143,https://www.bitchmedia.org/
Boing Boing,Left,High,4033724,https://www.blackagendareport.com/
Bust Magazine,Left,High,490163,https://boingboing.net/
Canadian Dimension,Left,High,18336,https://bust.com/
Carbonated TV,Left,High,43266,https://canadiandimension.com/
Center for American Progress,Left,High,571441,https://www.youtube.com/playlist?list=PL_75THJiW9YucX9hLnTU_D5t5hM8Ox2_B
Center for Media and Democracy (PR Watch),Left,High,503644,https://www.americanprogress.org/
Change.org,Left,High,1701909,https://www.activistfacts.com/organizations/12-center-for-media-democracy/
Chicago Reader,Left,High,1004631,https://www.change.org/
Chronicles of Democracy,Left,High,3,https://www.chicagoreader.com/
Citizen Critics,Left,High,9,https://democracychronicles.org/
Common Dreams,Left,High,1924967,https://www.amazon.ca/Citizen-Critics-LITERARY-PUBLIC-SPHERES/dp/025206867X
Cosmopolitan,Left,High,752435,https://www.commondreams.org/
CounterCurrents.org,Left,High,198115,https://www.cosmopolitan.com/
CounterPunch,Left,High,1811577,https://countercurrents.org/
CrimethInc,Left,High,148763,https://www.counterpunch.org/
Crooked Media,Left,High,26069,https://crimethinc.com/
Current Affairs Magazine,Left,High,14295,https://crooked.com/
Curve Magazine,Left,High,44804,https://en.wikipedia.org/wiki/Current_Affairs_(magazine)
Daily Dot,Left,High,213640,http://www.curvemag.com/Magazine/
Dallas Voice,Left,High,144428,https://www.dailydot.com/
Dead State,Left,High,21834,https://www.dallasvoice.com/
Deadspin,Left,High,3926154,https://en.wikipedia.org/wiki/Dead_State
DeathandTaxes,Left,High,230151,https://deadspin.com/
Democracy Chronicles,Left,High,15040,http://donnellygroup.ca/death-and-taxes/
Democracy Now,Left,High,2449428,https://democracychronicles.org/
DeSmog,Left,High,309666,https://www.democracynow.org/
Dissent Magazine,Left,High,303955,https://thumpertalk.com/forums/topic/1247025-18-500exc-f/
EgbertoWillies,Left,High,38044,https://www.dissentmagazine.org/
Electoral-Vote.com,Left,High,657244,https://twitter.com/egbertowillies?lang=en
Electronic Intifada,Left,High,613384,https://electoral-vote.com/
Elisabeth Parker,Left,High,4886,https://electronicintifada.net/
Esquire Magazine,Left,High,567973,https://www.judymarsales.com/sales-representatives/4/elizabeth-parker.aspx
Everyday Feminism,Left,High,16099,https://www.esquire.com/
Evonomics,Left,High,63618,https://everydayfeminism.com/
Fifth Estate,Left,High,39136,http://evonomics.com/
Filming Cops,Left,High,19802,https://www.cbc.ca/fifth/
First Post,Left,High,4574049,https://www.youtube.com/watch?v=TWnifV3pKTQ
Free Press,Left,High,80170,https://www.firstpost.com/
Free Rein News,Left,High,3,https://lfpress.com/
FStv (freespeech.org),Left,High,206764,https://www.netflix.com/ca/title/80134695
Gizmodo,Left,High,7970604,https://freespeech.org/
Good Magazine,Left,High,286692,https://gizmodo.com/
GQ Magazine,Left,High,2704858,https://www.good.is/
Greenville Gazette,Left,High,10177,https://www.gq.com/
Guardian Liberty Voice,Left,High,317476,https://www.facebook.com/GreenvilleGazetteNews/
Guardians of Democracy,Left,High,10549,https://guardianlv.com/
Human Rights Campaign (HRC),Left,High,380551,https://mediabiasfactcheck.com/guardians-of-democracy/
In Defence of Marxism,Left,High,339676,https://www.hrc.org/
In These Times,Left,High,983091,https://www.marxist.com/
Inequality Media,Left,High,16341,http://inthesetimes.com/
Informed Comment,Left,High,2886263,https://www.inequalitymedia.org/
Institute for Policy Studies,Left,High,322899,https://www.juancole.com/
Jacobin,Left,High,251827,https://ips-dc.org/
Lavender Magazine,Left,High,40667,https://jacobinmag.com/
Left Action,Left,High,5274,https://www.lavendermagazine.com/media-kit/
Left Foot Forward,Left,High,276357,https://m-net.dstv.com/channel/m-net-movies-action-106_7
Left Voice,Left,High,4599839,https://en.wikipedia.org/wiki/Left_Foot_Forward
LGBTQ Nation,Left,High,1300288,http://www.leftvoice.org/
Libcom.org,Left,High,325062,https://www.lgbtqnation.com/
Liberation News,Left,High,65675,https://libcom.org/
Mashable,Left,High,3460801,https://www.liberationnews.org/
Media Matters,Left,High,2275639,https://mashable.com/
Mediaite,Left,High,1012015,https://www.mediamatters.org/
Miami New Times,Left,High,192007,https://www.mediaite.com/
Mondoweiss,Left,High,790136,https://www.miaminewtimes.com/
Mother Jones,Left,High,1700824,https://mondoweiss.net/
Ms. (Magazine),Left,High,140604,https://www.motherjones.com/
New Internationalist,Left,High,1002111,http://www.msmagazine.com/
New Politics Magazine,Left,High,63960,https://newint.org/
New Republic,Left,High,1552735,http://newpol.org/
New Statesman,Left,High,323174,https://newrepublic.com/
New York Magazine,Left,High,6832937,https://www.newstatesman.com/
New Yorker,Left,High,3182764,http://nymag.com/
North99,Left,High,371,https://www.newyorker.com/
Now Magazine,Left,High,152509,https://north99.org/
Paste Magazine,Left,High,685193,https://nowtoronto.com/news
People for the American Way (PFAW),Left,High,249823,https://www.pastemagazine.com/
People Magazine,Left,High,2244344,http://www.pfaw.org/
PINAC,Left,High,186650,https://people.com/
Pink News,Left,High,112422,https://www.pinterest.com/pin/257479303666269812/
PoliticusUSA,Left,High,451724,https://www.pinknews.co.uk/
Press Progress,Left,High,1247,https://www.politicususa.com/
Progressive Army,Left,High,25617,https://pressprogress.ca/
Project Censored,Left,High,1332222,http://progressivearmy.com/
PutinTrump.org,Left,High,825,https://en.wikipedia.org/wiki/Project_Censored
Queerty,Left,High,1905543,https://putintrump.org/
Rabble.ca,Left,High,356943,https://www.queerty.com/
Reading the Pictures,Left,High,265929,http://www.rabble.ca/
The Reality-Based Community,Left,High,812662,https://www.theguardian.com/books/2015/feb/07/the-book-with-no-pictures-bj-novak-review
Red Pepper,Left,High,132206,http://www.samefacts.com/
Red State Disaster,Left,High,3,https://en.wikipedia.org/wiki/Red_pepper
Reverb Press,Left,High,348031,https://mediabiasfactcheck.com/red-state-disaster/
Revolution News,Left,High,0,https://mediabiasfactcheck.com/reverb-press/
Rewire,Left,High,224044,https://www.thelocal.fr/20190118/same-old-elite-macrons-revolution-fails-with-fed-up-french
Ring of Fire,Left,High,103189,https://www.rewirefestival.nl/
Salon,Left,High,2645696,https://en.wikipedia.org/wiki/Ring_of_Fire
Scary Mommy,Left,High,242070,https://www.salonplus.ee/
Shadow Proof,Left,High,2178662,https://www.scarymommy.com/
Slate,Left,High,3070380,https://www.youtube.com/watch?v=EK5YoRJKsv8
Socialist Standard,Left,High,90736,https://slate.com/
SourceWatch,Left,High,152492,https://en.wikipedia.org/wiki/Socialist_Party_of_Canada
St. Pete for Peace,Left,High,82,http://www.sourcewatch.org/
TakePart,Left,High,62721,https://www.stpete4peace.org/
Talking Points Memo,Left,High,5942148,http://www.takepart.com/
