News Source,Bias,Reporting,References
All That s Fab,Left,Mixed,44360
AlterNet,Left,Mixed,2607229
American Bridge 21st Century,Left,Mixed,3819
Blue Dot Daily,Left,Mixed,426
Blue Nation Review,Left,Mixed,23960
Breitbart Unmasked,Left,Mixed,20689
Code Pink,Left,Mixed,228707
Crooks and Liars,Left,Mixed,3160466
Daily Mirror,Left,Mixed,3152508
Deep Left Field,Left,Mixed,3983
DeepStateNation.com,Left,Mixed,87663
Democratic Underground,Left,Mixed,1403949
Drudge Retort,Left,Mixed,706080
Earth First Journal,Left,Mixed,88907
Economy In Crisis,Left,Mixed,0
Elite Daily,Left,Mixed,77527
Globe Today,Left,Mixed,30723
GOPOCALYPSE,Left,Mixed,0
Groopspeak,Left,Mixed,100
Happy Foxie,Left,Mixed,1433
Independent Reporter (Ir.net),Left,Mixed,21678
International Viewpoint,Left,Mixed,216112
Intrepid Report,Left,Mixed,54834
It s Going Down,Left,Mixed,99217
Jezebel,Left,Mixed,3381014
Left Over Rights,Left,Mixed,20
Left Side of History,Left,Mixed,411
Liberal America,Left,Mixed,22817
Liberal Examiner,Left,Mixed,1099
Liberals Unite (Samuel Warde),Left,Mixed,71824
Little Green Footballs,Left,Mixed,406820
Love Knowledge,Left,Mixed,0
Mean Left Hook,Left,Mixed,1608
Modern Liberals,Left,Mixed,1352
Moon of Alabama,Left,Mixed,263721
Move On,Left,Mixed,460486
Nap-Sack,Left,Mixed,10
Nation of Change,Left,Mixed,132382
News Corpse,Left,Mixed,12713
NewsHounds,Left,Mixed,772689
NewsLogue,Left,Mixed,6145
Nova Magazine,Left,Mixed,46
OpEdNews (OEN),Left,Mixed,509866
Palmer Report,Left,Mixed,29004
Popular Resistance,Left,Mixed,140199
Progressive Liberal,Left,Mixed,6791
Proud Democrat,Left,Mixed,3952
Rappler,Left,Mixed,523496
Raw Progressive,Left,Mixed,6
Raw Story,Left,Mixed,2178657
Reader Supported News (RSN),Left,Mixed,217307
Red Youth,Left,Mixed,3772
Republicans Suck,Left,Mixed,5001
Revcom.us,Left,Mixed,47655
Right Wing Watch,Left,Mixed,601283
Shareblue,Left,Mixed,75660
Sparks/CnnTimes,Left,Mixed,0
Splinter,Left,Mixed,2585732
Syriana Analysis,Left,Mixed,689
TeleSUR,Left,Mixed,2136424
The Blue Route,Left,Mixed,10
The Democratic Hub,Left,Mixed,5904298
The Florida Squeeze,Left,Mixed,6473
The New Civil Rights Movement,Left,Mixed,543097
The Progressive Frontier,Left,Mixed,2397
TheosWatch.com,Left,Mixed,1424
Think Progress,Left,Mixed,3294172
Towleroad,Left,Mixed,1004715
Truth Out,Left,Mixed,743225
Vermont Independent,Left,Mixed,138
Viral Title,Left,Mixed,34
Washington Press,Left,Mixed,54726
Washington Sources,Left,Mixed,128232
Who.What.Why,Left,Mixed,183671
Wonkette,Left,Mixed,8300011
Workers World,Left,Mixed,169552
Act.TV,Left,High,11142
Advocate,Left,High,471075
Akkadian Times,Left,High,891
Amandla,Left,High,5125
AmericaBlog,Left,High,1287708
The American Independent Institute,Left,High,2218
American United for Separation of Church and State,Left,High,316240
Angry White Men,Left,High,26368
AutoStraddle,Left,High,230802
Bay Area Reporter,Left,High,75994
Being Liberal,Left,High,19454
Bitch Media,Left,High,9607
Black Agenda Report,Left,High,169143
Boing Boing,Left,High,4033724
Bust Magazine,Left,High,490163
Canadian Dimension,Left,High,18336
Carbonated TV,Left,High,43266
Center for American Progress,Left,High,571441
Center for Media and Democracy (PR Watch),Left,High,503644
Change.org,Left,High,1701909
Chicago Reader,Left,High,1004631
Chronicles of Democracy,Left,High,3
Citizen Critics,Left,High,9
Common Dreams,Left,High,1924967
Cosmopolitan,Left,High,752435
CounterCurrents.org,Left,High,198115
CounterPunch,Left,High,1811577
CrimethInc,Left,High,148763
Crooked Media,Left,High,26069
Current Affairs Magazine,Left,High,14295
Curve Magazine,Left,High,44804
Daily Dot,Left,High,213640
Dallas Voice,Left,High,144428
Dead State,Left,High,21834
Deadspin,Left,High,3926154
DeathandTaxes,Left,High,230151
Democracy Chronicles,Left,High,15040
Democracy Now,Left,High,2449428
DeSmog,Left,High,309666
Dissent Magazine,Left,High,303955
EgbertoWillies,Left,High,38044
Electoral-Vote.com,Left,High,657244
Electronic Intifada,Left,High,613384
Elisabeth Parker,Left,High,4886
Esquire Magazine,Left,High,567973
Everyday Feminism,Left,High,16099
Evonomics,Left,High,63618
Fifth Estate,Left,High,39136
Filming Cops,Left,High,19802
First Post,Left,High,4574049
Free Press,Left,High,80170
Free Rein News,Left,High,3
FStv (freespeech.org),Left,High,206764
Gizmodo,Left,High,7970604
Good Magazine,Left,High,286692
GQ Magazine,Left,High,2704858
Greenville Gazette,Left,High,10177
Guardian Liberty Voice,Left,High,317476
Guardians of Democracy,Left,High,10549
Human Rights Campaign (HRC),Left,High,380551
In Defence of Marxism,Left,High,339676
In These Times,Left,High,983091
Inequality Media,Left,High,16341
Informed Comment,Left,High,2886263
Institute for Policy Studies,Left,High,322899
Jacobin,Left,High,251827
Lavender Magazine,Left,High,40667
Left Action,Left,High,5274
Left Foot Forward,Left,High,276357
Left Voice,Left,High,4599839
LGBTQ Nation,Left,High,1300288
Libcom.org,Left,High,325062
Liberation News,Left,High,65675
Mashable,Left,High,3460801
Media Matters,Left,High,2275639
Mediaite,Left,High,1012015
Miami New Times,Left,High,192007
Mondoweiss,Left,High,790136
Mother Jones,Left,High,1700824
Ms. (Magazine),Left,High,140604
New Internationalist,Left,High,1002111
New Politics Magazine,Left,High,63960
New Republic,Left,High,1552735
New Statesman,Left,High,323174
New York Magazine,Left,High,6832937
New Yorker,Left,High,3182764
North99,Left,High,371
Now Magazine,Left,High,152509
Paste Magazine,Left,High,685193
People for the American Way (PFAW),Left,High,249823
People Magazine,Left,High,2244344
PINAC,Left,High,186650
Pink News,Left,High,112422
PoliticusUSA,Left,High,451724
Press Progress,Left,High,1247
Progressive Army,Left,High,25617
Project Censored,Left,High,1332222
PutinTrump.org,Left,High,825
Queerty,Left,High,1905543
Rabble.ca,Left,High,356943
Reading the Pictures,Left,High,265929
The Reality-Based Community,Left,High,812662
Red Pepper,Left,High,132206
Red State Disaster,Left,High,3
Reverb Press,Left,High,348031
Revolution News,Left,High,0
Rewire,Left,High,224044
Ring of Fire,Left,High,103189
Salon,Left,High,2645696
Scary Mommy,Left,High,242070
Shadow Proof,Left,High,2178662
Slate,Left,High,3070380
Socialist Standard,Left,High,90736
SourceWatch,Left,High,152492
St. Pete for Peace,Left,High,82
TakePart,Left,High,62721
Talking Points Memo,Left,High,5942148
The American Prospect,Left,High,723260
The Burning Spear,Left,High,6601
The Canary (UK),Left,High,50785
The Climate Reality Project,Left,High,184691
The Daily Banter,Left,High,153604
The Daily Vox,Left,High,30944
The Establishment,Left,High,9474
The Frisky,Left,High,176904
The Intellectualist,Left,High,1040
The Mary Sue,Left,High,356290
The Militant,Left,High,42457
The National Memo,Left,High,91199
The Outline,Left,High,25366
The Palestine Chronicle,Left,High,222228
The Progressive,Left,High,322310
The Village Voice,Left,High,1051117
The Walrus,Left,High,32447
The Young Turks,Left,High,56183
TheGrio,Left,High,329071
This Magazine,Left,High,26308
Tribune Magazine UK,Left,High,34468
Truth Against the Machine,Left,High,0
Truthdig,Left,High,1590563
Upworthy,Left,High,50670
Vanity Fair,Left,High,1682703
Verified Politics,Left,High,30402
Washington Journal (Not C-Span),Left,High,5782
Washington Monthly,Left,High,3134232
Wear Your Voice,Left,High,1254
What Matters News,Left,High,1227
The World Can t Wait,Left,High,7300
World Socialist Web Site,Left,High,32516198
Yes Magazine,Left,High,190489
Z Magazine,Left,High,60566
Affinity Magazine,Left-Center,Mixed,17956
BlastingNews,Left-Center,Mixed,274828
Citizens for Legitimate Government (CLG News),Left-Center,Mixed,1616692
Dutch Review,Left-Center,Mixed,9348
Egyptian Streets,Left-Center,Mixed,27146
Euractiv,Left-Center,Mixed,735793
The Fifth Column,Left-Center,Mixed,74886
Fusion,Left-Center,Mixed,131084
Health Magazine,Left-Center,Mixed,2074639
Independent Media Center,Left-Center,Mixed,4145085
Kurdistan 24,Left-Center,Mixed,7474
Medium,Left-Center,Mixed,2929801
San Francisco Globe,Left-Center,Mixed,37311
ScoopWhoop,Left-Center,Mixed,14914
Second Nexus,Left-Center,Mixed,1099
The Odyssey Online,Left-Center,Mixed,822574
UAWire,Left-Center,Mixed,27392
Yahoo News,Left-Center,Mixed,115404350
Above the Law,Left-Center,High,413582
Aeon,Left-Center,High,164164
African Arguments,Left-Center,High,60054
Akron Beacon Journal,Left-Center,High,1142054
Al-Hayat,Left-Center,High,235363
Al Monitor,Left-Center,High,71775
Alan Guttmacher Institute,Left-Center,High,45258
Alaska Dispatch News,Left-Center,High,289068
Albany Times-Union,Left-Center,High,1113673
Allied Progress,Left-Center,High,552
AM New York,Left-Center,High,1817835
American Civil Liberties Union (ACLU),Left-Center,High,1580537
Anti-Defamation League,Left-Center,High,1474482
AOL,Left-Center,High,27728715
Ara News,Left-Center,High,75946
Arizona Daily Star,Left-Center,High,1704393
Asheville Citizen-Times,Left-Center,High,1325464
Atlanta Black Star,Left-Center,High,230405
Atlanta Journal-Constitution,Left-Center,High,6982204
Atlantic Media,Left-Center,High,32794
ATTN:,Left-Center,High,14815
Austin American-Statesman,Left-Center,High,2785957
BackChannel,Left-Center,Very High,4432
Baptist News Global,Left-Center,High,12979
Beijing Review,Left-Center,High,152855
BillMoyers.com,Left-Center,Very High,226341
Bluestem Prairie,Left-Center,High,18754
Boy Genius Report (BGR),Left-Center,High,1023291
Brookings Institute,Left-Center,Very High,916884
Buffalo News,Left-Center,High,160034
Bustle Magazine,Left-Center,High,294942
Calgary Herald,Left-Center,High,644628
Caribbean Life News,Left-Center,High,46514
Carolina Public Press,Left-Center,High,48929
CCTV America,Left-Center,High,1927
Center for International Policy,Left-Center,Very High,238489
Center for Popular Democracy,Left-Center,High,12847
Charlotte Observer,Left-Center,High,1623797
Chicago Sun Times,Left-Center,High,743462
Citizens for Tax Justice,Left-Center,High,18842
Citizens for Responsibility and Ethics in Washington (CREW),Left-Center,High,150647
Clean Technica,Left-Center,Very High,206027
Columbia Journalism Review,Left-Center,High,655021
Committee to Investigate Russia,Left-Center,High,6550
Common Cause,Left-Center,High,156536
Commonweal Magazine,Left-Center,High,62118
Commonwealth Fund,Left-Center,High,44669
Council for the National Interest,Left-Center,High,141064
Credo Action,Left-Center,High,29354
Crosscut.com,Left-Center,High,83817
